anyo,consejeria,medio,tipo,importe
2014,Agricultura y Ganadería,Castilla y León ES Radio,Radio,19999.99
2014,Agricultura y Ganadería,Diario de Ávila,Prensa,32062.5
2014,Agricultura y Ganadería,Diario de Burgos,Prensa,32062.5
2014,Agricultura y Ganadería,EFE,Agencia,38259.99
2014,Agricultura y Ganadería,El Economista,Otros Medios,4840
2014,Agricultura y Ganadería,El Mundo de CyL,Prensa,87030
2014,Agricultura y Ganadería,El Mundo Digital,Medios Digitales,43500
2014,Agricultura y Ganadería,El Norte de Castilla Digital,Medios Digitales,43500
2014,Agricultura y Ganadería,La Gaceta de Salamanca,Prensa,34455
2014,Agricultura y Ganadería,La Opinión Correo Zamora,Prensa,16025
2014,Agricultura y Ganadería,Libro de cocina primeras recetas del Siglo XXI,Otros Medios,1028.5
2014,Cultura y Turismo,Diario de León,Prensa,93000
2014,Cultura y Turismo,EFLUX,Otros Medios,1737.49
2014,Cultura y Turismo,El Heraldo de Soria,Prensa,8000
2014,Cultura y Turismo,El Mundo de CyL,Prensa,398000
2014,Cultura y Turismo,Europa Press,Agencia,26000
2014,Cultura y Turismo,Guía de Ocio,Otros Medios,5688.35
2014,Cultura y Turismo,Hola Viajes,Otros Medios,17000
2014,Cultura y Turismo,ICAL,Agencia,69000
2014,Cultura y Turismo,La Gaceta de Salamanca,Prensa,35000
2014,Cultura y Turismo,Masviajes.com,Medios Digitales,1452
2014,Cultura y Turismo,Puerta de Embarque,Otros Medios,8000
2014,Cultura y Turismo,Radio Televisión Castilla y León,Otros Medios,7011.95
2014,Cultura y Turismo,Revista Actualidad Económica,Otros Medios,3630
2014,Cultura y Turismo,Revista Yorokobu,Otros Medios,3630
2014,Cultura y Turismo,Scherzo,Otros Medios,1678.88
2014,Cultura y Turismo,Televisión CyL 8,Otros Medios,21356
2014,Economía y Hacienda,Castilla y León ES Radio,Radio,22692
2014,Economía y Hacienda,CL Comunicación,Agencia,39998.99
2014,Economía y Hacienda,COPE,Radio,36538.25
2014,Economía y Hacienda,Diario Soria / El Heraldo,Prensa,27978.16
2014,Economía y Hacienda,ICAL,Agencia,280000
2014,Economía y Hacienda,La Gaceta de Salamanca,Prensa,44330.14
